项目URL,项目名称,采购人信息,项目金额
https://www.szggzy.com/jygg/details.html?contentId=2363383,深圳市龙华区2024年退役军人电商培训,：深圳市环境科学研究院联系人：钟工联系电话：,158970
https://www.szggzy.com/jygg/details.html?contentId=2362310,福田区校外教育培训智能监控联网系统服务类项目采购公告,名称：深圳市福田区教育局地址：深圳市福田区新洲九街,5000000000
https://www.szggzy.com/jygg/details.html?contentId=2361269,南方科技大学附属光明凤凰学校教职工瑜伽培训项目采购公告,名称：深圳市福田区教育局地址：深圳市福田区新洲九街,14000
https://www.szggzy.com/jygg/details.html?contentId=2360332,综合行政执法办（行政执法组）开展2024年社区巡查整治业务培训项目（实施购买前）,名称：深圳市福田区教育局地址：深圳市福田区新洲九街,50000
https://www.szggzy.com/jygg/details.html?contentId=2360117,2024年光明区舆论宣传综合能力提升培训班采购公告,名称：中共深圳市光明区委宣传部地址：深圳市光明区广场路,93000.00
https://www.szggzy.com/jygg/details.html?contentId=2359583,2024年教师专业提升研修培训采购公告,未识别,176000
https://www.szggzy.com/jygg/details.html?contentId=2359190,临床技能培训课程及自主练习智能发布系统采购项目招标公告,名称：深圳市中医院地址：深圳市福田区福华路,5000000000
https://www.szggzy.com/jygg/details.html?contentId=2358991,关于政府购买光明区应急消防科普教育基地参观培训租车服务的公告(实施购买前)   ,名称：深圳市中医院地址：深圳市福田区福华路,2200
https://www.szggzy.com/jygg/details.html?contentId=2358146,2024年福田区小学校领导任职资格培训项目招标公告,名称：深圳市福田区教师发展中心地址：深圳市福田区联系人：陈老师联系电话：,7780000000.00
https://www.szggzy.com/jygg/details.html?contentId=2357054,深圳大学急救培训设备采购采购公告,名称：深圳市福田区教师发展中心地址：深圳市福田区联系人：陈老师联系电话：,650000.00
https://www.szggzy.com/jygg/details.html?contentId=2356954,深圳市南山区第二外国语学校（集团）青年干部“争锋行动”培训项目采购公告,名称：深圳市福田区教师发展中心地址：深圳市福田区联系人：陈老师联系电话：,300000
https://www.szggzy.com/jygg/details.html?contentId=2356464,龙华区2024年驻深部队官兵职业技能培训项目,名称：深圳市福田区教师发展中心地址：深圳市福田区联系人：陈老师联系电话：,300000
https://www.szggzy.com/jygg/details.html?contentId=2355349,警航专业人员培训（特警支队）采购项目招标公告,名称：深圳市公安局（本级）地址：深圳市罗湖区解放路,100000000000
https://www.szggzy.com/jygg/details.html?contentId=2355327,2024年教师专业提升研修培训采购公告,名称：深圳市公安局（本级）地址：深圳市罗湖区解放路,176000
https://www.szggzy.com/jygg/details.html?contentId=2355186,深圳市初中部分学科教师教研能力提升培训活动项目招标公告,名称：深圳市教育科学研究院地址：深圳市罗湖区泥岗西路,7071170000
https://www.szggzy.com/jygg/details.html?contentId=2355186,深圳市初中部分学科教师教研能力提升培训活动项目招标公告,名称：深圳市教育科学研究院地址：深圳市罗湖区泥岗西路,7071170000
https://www.szggzy.com/jygg/details.html?contentId=2354018,深圳市深汕特别合作区2024年退役军人适应性培训服务项目招标公告,名称：深圳市深汕特别合作区统战和社会建设局地址：深圳市深汕特别合作区管委会仁和楼,123250.00
https://www.szggzy.com/jygg/details.html?contentId=2352978,开展新闻采编业务培训采购公告,名称：深圳市光明区融媒体中心地址：深圳市光明区光明街道公共服务平台十楼联系方式：,12640.00
https://www.szggzy.com/jygg/details.html?contentId=2350136,关于李松蓢社区工联会龙舟培训系列活动采购公告,名称：深圳市光明区公明街道办事处地址：深圳市光明区公明街道金辉路,59910.00
https://www.szggzy.com/jygg/details.html?contentId=2349598,关于政府申请开展2024年综合行政执法 业务培训的公告 (实施购买前),名称：深圳市光明区公明街道办事处地址：深圳市光明区公明街道金辉路,100000
https://www.szggzy.com/jygg/details.html?contentId=2349224,2024年罗湖区教育帮扶培训项目采购公告,名称：深圳市光明区公明街道办事处地址：深圳市光明区公明街道金辉路,980000.00
https://www.szggzy.com/jygg/details.html?contentId=2348835,2024年市海洋领域部门领导和业务干部海洋发展专题培训采购项目招标公告,名称：深圳市规划和自然资源局地址：深圳市福田区红荔西路,2025000000
https://www.szggzy.com/jygg/details.html?contentId=2348765,2024年度土地整备业务知识培训采购公告,名称：深圳市光明区玉塘街道办事处地址：深圳市光明区警民路,153500
https://www.szggzy.com/jygg/details.html?contentId=2348095,龙岗区人民医院临床技能培训中心管理系统服务采购采购公告,名称：深圳市龙岗区人民医院地址：深圳市龙岗区龙城街道爱心路,3
https://www.szggzy.com/jygg/details.html?contentId=2346868,关于政府购买光明街道2024年两新党建 业务培训租车服务的公告 (实施购买前),名称：深圳市龙岗区人民医院地址：深圳市龙岗区龙城街道爱心路,4500
https://www.szggzy.com/jygg/details.html?contentId=2345778,深圳某部“五小工”技能培训服务项目询价公告,未识别,4
https://www.szggzy.com/jygg/details.html?contentId=2345695,航拍无人机设备及配套保险、培训采购项目（二次）,名称：城市安全发展科技研究院（深圳）地址：深圳市罗湖区清水河街道清水河社区清水河三路,57000.00
https://www.szggzy.com/jygg/details.html?contentId=2343976,深圳市公安局交通警察局辅警培训服务项目采购公告,名称：深圳市公安局交通警察局地址：福田区莲花支路,3
https://www.szggzy.com/jygg/details.html?contentId=2342632,福田区股份合作公司内控建设管理培训采购公告,名称：深圳市福田区财政局（集体资产管理局）地址：福田区福民路,246000
https://www.szggzy.com/jygg/details.html?contentId=2341809,2024年福田区学校管理者履职能力提升培训项目招标公告,名称：深圳市福田区教师发展中心地址：深圳市福田区联系人：陈老师联系电话：,3980000000.00
https://www.szggzy.com/jygg/details.html?contentId=2341818,福田区2025年新入职教师心理健康教育C证培训服务项目采购公告,名称：深圳市福田区教师发展中心地址：深圳市福田彩田路,448000.0
https://www.szggzy.com/jygg/details.html?contentId=2340996,光明区教育局购买学前英才“领雁工程”2024年培训服务采购公告,名称：深圳市光明区教育局地址：深圳市光明区公共服务平台,248730.00
https://www.szggzy.com/jygg/details.html?contentId=2340664,光明区教育局采购校外培训预付式资金监管宣传活动服务项目采购公告,名称：深圳市光明区教育局地址：深圳市光明区公共服务平台,59000.0
https://www.szggzy.com/jygg/details.html?contentId=2339695,综合行政执法办（行政执法组）开展2024年综合行政执法业务培训项目（实施购买前）,名称：深圳市光明区教育局地址：深圳市光明区公共服务平台,50000
