股票代码,股票名称,股票公司,行业,天眼查链接
682,东方电子,东方电子股份有限公司,软件和信息技术服务业,https://m.tianyancha.com/company/5439623
683,博源化工,内蒙古博源化工股份有限公司,化学原料和化学制品制造业,https://www.tianyancha.com/sinvest/2344994387-8c06
685,中山公用,中山公用事业集团股份有限公司,水的生产和供应业,https://www.tianyancha.com/srecruit/146476815-a57b
686,东北证券,东北证券股份有限公司,资本市场服务,https://news.tianyancha.com/ll_6od9cdga5m.html
688,国城矿业,国城矿业股份有限公司,有色金属矿采选业,https://www.tianyancha.com/company/165446278
690,宝新能源,广东宝丽华新能源股份有限公司,电力、热力生产和供应业,https://www.tianyancha.com/sholder/3000288637-bc77
691,*ST亚太,甘肃亚太实业发展股份有限公司,化学原料和化学制品制造业,https://www.tianyancha.com/company/403318532
692,惠天热电,沈阳惠天热电股份有限公司,电力、热力生产和供应业,https://www.tianyancha.com/sbond/2321970623-7834
695,滨海能源,天津滨海能源发展股份有限公司,印刷和记录媒介复制业,https://m.tianyancha.com/company/238035738
697,ST炼石,炼石航空科技股份有限公司,铁路、船舶、航空航天和其他运输设备制造业,https://www.tianyancha.com/schange/193545761-011a
698,沈阳化工,沈阳化工股份有限公司,化学原料和化学制品制造业,https://www.tianyancha.com/company/438314622
700,模塑科技,江南模塑科技股份有限公司,汽车制造业,https://www.tianyancha.com/sinvest/24726997-9411
701,厦门信达,厦门信达股份有限公司,批发业,https://www.tianyancha.com/company/94707178
702,正虹科技,湖南正虹科技发展股份有限公司,农副食品加工业,https://www.tianyancha.com/steam/1287197657-65af
703,恒逸石化,恒逸石化股份有限公司,化学纤维制造业,https://www.tianyancha.com/company/2414387151
705,浙江震元,浙江震元股份有限公司,批发业,https://www.tianyancha.com/company/55272115
707,双环科技,湖北双环科技股份有限公司,化学原料和化学制品制造业,https://www.tianyancha.com/company/28599642
708,中信特钢,中信泰富特钢集团股份有限公司,黑色金属冶炼和压延加工业,https://www.tianyancha.com/company/1171191331
709,河钢股份,河钢股份有限公司,黑色金属冶炼和压延加工业,https://www.tianyancha.com/sinvest/2321477471-24cd
710,贝瑞基因,成都市贝瑞和康基因技术股份有限公司,专业技术服务业,https://www.tianyancha.com/steam/330377730-f3e3
711,*ST京蓝,京蓝科技股份有限公司,生态保护和环境治理业,https://www.tianyancha.com/steam/30472714-8b04
712,锦龙股份,广东锦龙发展股份有限公司,资本市场服务,https://www.tianyancha.com/steam/3187472432-7a5a
713,丰乐种业,合肥丰乐种业股份有限公司,农、林、牧、渔专业及辅助性活动,https://www.tianyancha.com/steam/24792598-1f04
715,中兴商业,中兴-沈阳商业大厦(集团)股份有限公司,零售业,https://www.tianyancha.com/sfindNews/864537169-ef00/p21
716,黑芝麻,南方黑芝麻集团股份有限公司,食品制造业,https://www.tianyancha.com/stm/109077709-047e/p8
717,中南股份,广东中南钢铁股份有限公司,黑色金属冶炼和压延加工业,https://www.tianyancha.com/company/79532869
718,苏宁环球,苏宁环球股份有限公司,房地产业,https://www.tianyancha.com/steam/24153807-e78b
719,中原传媒,中原大地传媒股份有限公司,新闻和出版业,https://www.tianyancha.com/company/3281608786
720,新能泰山,山东新能泰山发电股份有限公司,房地产业,https://www.tianyancha.com/srcheck/98928575-e2fc
721,西安饮食,西安饮食股份有限公司,餐饮业,https://www.tianyancha.com/company/546017016
722,湖南发展,湖南发展集团股份有限公司,电力、热力生产和供应业,https://www.tianyancha.com/company/229499731
